timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
1696292810554,-0.18798828,-0.9517212,0.2567749,0.734375,1.390625,0.46875,151
1696292810594,-0.1953125,-0.9854126,0.24383545,2.6875,2.78125,1.703125,152
1696292810634,-0.15844727,-0.9458618,0.24871826,4.421875,3.875,3.21875,153
1696292810674,-0.21411133,-0.9649048,0.260437,3.4375,3.5625,4.921875,154
1696292810714,-0.17700195,-0.98443604,0.22601318,6.03125,2.625,6.9375,155
1696292810754,-0.16772461,-1.0046997,0.15838623,2.84375,3.296875,4.75,156
1696292810794,-0.13989258,-1.0132446,0.18817139,9.40625,2.53125,3.96875,157
1696292810834,-0.107910156,-0.99420166,0.1539917,10.6875,1.0,1.265625,158
1696292810874,-0.072265625,-0.9368286,0.09222412,15.140625,-6.296875,3.90625,159
1696292810914,-0.037109375,-1.0549927,-0.074523926,12.546875,7.15625,4.4375,160
1696292810954,-0.008544922,-0.8948364,0.093933105,-1.703125,14.015625,5.765625,161
1696292810994,-0.1899414,-0.97125244,0.31756592,-16.984375,1.421875,-1.625,162
1696292811034,-0.1796875,-1.1045532,0.3163452,4.3125,-3.765625,-1.53125,163
1696292811074,-0.110839844,-0.9793091,0.15374756,-0.328125,-6.484375,-4.109375,164
1696292811114,-0.061279297,-1.0025024,0.026794434,-12.296875,-8.859375,-3.703125,165
1696292811154,-0.19042969,-0.9390259,0.19891357,1.984375,-3.71875,-2.984375,166
1696292811194,-0.109375,-0.9492798,0.1618042,-2.875,-2.640625,1.578125,167
1696292811234,-0.12036133,-1.0083618,0.14447021,1.453125,-2.078125,1.28125,168
1696292811274,-0.12426758,-0.9871216,0.15179443,1.40625,-3.8125,0.625,169
1696292811314,-0.15576172,-0.9920044,0.18084717,2.078125,0.5625,0.765625,170
1696292811354,-0.15551758,-0.98443604,0.16571045,3.15625,1.296875,1.203125,171
1696292811394,-0.11669922,-0.9998169,0.16278076,4.015625,3.265625,1.78125,172
1696292811434,-0.16235352,-0.9890747,0.1395874,1.8125,4.828125,3.015625,173
1696292811474,-0.12939453,-0.9741821,0.17816162,4.53125,5.53125,2.90625,174
1696292811514,-0.16259766,-1.000061,0.19110107,5.03125,3.421875,7.046875,175
1696292811554,-0.12011719,-1.0303345,0.097839355,-0.453125,-0.65625,5.390625,176
1696292811594,-0.032714844,-1.019104,0.0036010742,6.296875,-6.578125,1.8125,177
1696292811634,0.05102539,-0.9570923,-0.06427002,15.875,0.828125,6.296875,178
1696292811674,-0.033691406,-0.9932251,0.11175537,6.484375,-0.875,4.71875,179
1696292811714,-0.13452148,-0.8262329,0.1437378,-18.96875,-4.65625,-3.8125,180
1696292811754,-0.22705078,-1.1331177,0.21673584,-3.609375,-3.375,5.515625,181
1696292811794,-0.10205078,-1.0405884,0.23822021,5.578125,-4.3125,-0.9375,182
1696292811834,-0.024169922,-0.8904419,-0.003479004,-1.40625,-9.40625,1.140625,183
1696292811874,-0.07836914,-1.000061,0.093444824,-7.640625,-1.90625,-2.375,184
1696292811914,-0.09033203,-0.9993286,0.09466553,-3.90625,-0.734375,0.3125,185
1696292811954,-0.08227539,-1.0618286,0.17962646,4.65625,-0.53125,1.765625,186
1696292811994,-0.087890625,-0.96832275,0.06488037,-1.890625,-5.515625,0.328125,187
1696292812034,-0.06518555,-0.9331665,0.07171631,-3.375,-3.390625,-0.515625,188
1696292812074,-0.07055664,-1.0025024,0.1227417,-2.15625,0.46875,-1.921875,189
1696292812114,-0.1328125,-1.03302,0.13983154,4.203125,-0.234375,1.875,190
1696292812154,-0.041992188,-1.0269165,0.055603027,-5.09375,-3.796875,-2.140625,191
1696292812194,-0.08862305,-0.9439087,0.12786865,0.578125,-0.96875,-0.765625,192
1696292812234,-0.111328125,-0.9702759,0.10345459,2.984375,1.640625,1.15625,193
1696292812274,-0.103515625,-1.0527954,0.0692749,-0.921875,1.25,4.421875,194
1696292812314,-0.03955078,-1.0256958,0.117370605,0.1875,-2.515625,-0.984375,195
1696292812354,-0.05883789,-0.9585571,0.116882324,-3.703125,-4.234375,-4.109375,196
1696292812394,-0.1184082,-1.0205688,0.1071167,-6.28125,-4.484375,-4.921875,197
1696292812434,-0.040771484,-0.9734497,0.13568115,-0.859375,-0.625,-1.09375,198
1696292812474,-0.099609375,-0.9846802,0.13031006,-5.21875,-0.140625,-2.25,199
1696292812514,-0.1340332,-1.0379028,0.13372803,-3.734375,-2.25,-2.46875,200
1696292812554,-0.103027344,-0.9624634,0.10638428,-1.921875,-3.09375,-1.90625,201
1696292812594,-0.12841797,-0.9734497,0.13275146,-3.234375,1.109375,-2.734375,202
1696292812634,-0.11621094,-0.9885864,0.14984131,-4.3125,-2.390625,-2.625,203
1696292812674,-0.1640625,-1.0188599,0.19818115,-0.578125,0.078125,-1.859375,204
1696292812714,-0.13110352,-1.000061,0.05633545,-5.046875,-6.78125,-2.796875,205
1696292812754,-0.06982422,-0.9849243,0.14105225,2.078125,0.375,-4.609375,206
1696292812794,-0.06958008,-1.0134888,0.11029053,-2.1875,-3.0625,-2.40625,207
1696292812834,-0.13085938,-1.0232544,0.074401855,-8.765625,-5.046875,-4.0625,208
1696292812874,-0.057617188,-0.9717407,0.18377686,-6.25,0.28125,-7.46875,209
1696292812914,-0.16064453,-0.9224243,0.15740967,-1.078125,-1.953125,0.53125,241
1696292812954,-0.17797852,-0.98394775,0.17816162,-4.015625,0.40625,-0.21875,242
1696292812994,-0.19116211,-0.9915161,0.18914795,2.125,-1.421875,0.8125,243
1696292813034,-0.15258789,-0.97613525,0.16619873,-1.0625,0.53125,-2.8125,244
1696292813074,-0.16333008,-0.9612427,0.1293335,0.5,-1.96875,-1.015625,245
1696292813114,-0.1508789,-0.9734497,0.1251831,0.53125,-2.25,-0.90625,246
1696292813154,-0.19750977,-0.95025635,0.14031982,1.0,-1.125,3.265625,247
1696292813194,-0.18847656,-1.0230103,0.09539795,-6.109375,-0.59375,0.4375,248
1696292813234,-0.18896484,-0.9663696,0.24066162,0.875,-3.234375,-0.796875,249
1696292813274,-0.17382812,-0.9439087,0.24578857,1.515625,-1.78125,2.6875,250
1696292813314,-0.2055664,-0.9468384,0.14178467,-2.40625,-0.203125,2.6875,251
1696292813354,-0.15991211,-0.99053955,0.14202881,3.15625,0.109375,4.734375,252
1696292813394,-0.12231445,-0.9812622,0.13616943,0.71875,-1.78125,0.90625,253
1696292813434,-0.17675781,-0.9771118,0.19744873,4.6875,-0.46875,2.5625,254
1696292813474,-0.15185547,-1.0029907,0.13201904,0.640625,0.703125,2.671875,255
1696292813514,-0.12524414,-0.9944458,0.093933105,1.625,1.34375,1.53125,256
1696292813554,-0.11303711,-0.97076416,0.11810303,0.5,-1.0,0.375,257
1696292813594,-0.16210938,-0.9985962,0.1408081,-3.375,1.28125,2.40625,258
1696292813634,-0.20483398,-1.0010376,0.21575928,7.96875,0.953125,4.75,259
